year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1979,18.519710540771484,-0.012978825682809345,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1980,18.5212459564209,-0.011065466191510718,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1981,18.541120529174805,0.04727840666328975,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1982,18.68384552001953,0.008625588861642068,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1983,18.512659072875977,0.04333735109444198,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1984,18.95337677001953,0.04511972586979714,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1985,18.581783294677734,0.05734271255042847,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1986,18.589570999145508,0.02348229849139732,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1987,18.334468841552734,0.02995255041842553,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1988,18.793800354003906,0.039166975087603265,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1989,18.8369140625,0.14015285055272184,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1990,18.49889373779297,0.16650660087056823,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1991,18.59214210510254,0.05893248819555393,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1992,18.56676483154297,-0.02684024033457659,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1993,18.720884323120117,-0.00048272633959974784,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1994,18.78769302368164,-0.06252005013153868,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1995,18.45398712158203,-0.14372513102850734,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1996,18.431215286254883,-0.032815267407610135,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1997,18.509862899780273,-0.11157140591839286,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1998,18.410547256469727,-0.048654944513805594,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1999,18.317066192626953,0.11518193804321315,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
2000,18.276018142700195,0.05271864206007317,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
2001,18.03203773498535,0.11979073959784813,True,False,True,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
