rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
171,1580,so W40p0 EOF1 lag2,-0.018576460366732953,0.018576460366732953,1,1580
172,1852,so W30p0 EOF3 lag3,0.018560321543378264,0.018560321543378264,1,1852
173,1506,so W60p0 EOF7 lag20,0.018534700505890494,0.018534700505890494,1,1506
174,796,thetao W20p0 EOF7 lag1,0.0185217960307437,0.0185217960307437,1,796
175,918,thetao W20p0 EOF9 lag13,-0.018517010657522176,0.018517010657522176,1,918
176,1865,so W30p0 EOF6 lag4,-0.018483160090950006,0.018483160090950006,1,1865
177,1845,so W30p0 EOF6 lag2,-0.018481495888364334,0.018481495888364334,1,1845
178,1854,so W30p0 EOF5 lag3,-0.01843625145387404,0.01843625145387404,1,1854
179,1590,so W40p0 EOF1 lag3,-0.018383374910588904,0.018383374910588904,1,1590
180,142,thetao W60p0 EOF3 lag14,-0.01837263380870802,0.01837263380870802,1,142
181,88,thetao W60p0 EOF9 lag8,-0.018355039395102666,0.018355039395102666,1,88
182,1238,thetao W10p0 EOF9 lag19,-0.018332940371889813,0.018332940371889813,1,1238
183,272,thetao W40p0 EOF3 lag1,-0.018328380448750563,0.018328380448750563,1,272
184,2185,so W20p0 EOF6 lag10,-0.018316491682914438,0.018316491682914438,1,2185
185,2118,so W20p0 EOF9 lag3,0.01826531269122058,0.01826531269122058,1,2118
186,2103,so W20p0 EOF4 lag2,0.01823779475902789,0.01823779475902789,1,2103
187,1619,so W40p0 EOF10 lag5,-0.01822343518140481,0.01822343518140481,1,1619
188,1477,so W60p0 EOF8 lag17,0.018186592401333718,0.018186592401333718,1,1477
189,578,thetao W30p0 EOF9 lag5,0.018142502032028492,0.018142502032028492,1,578
190,563,thetao W30p0 EOF4 lag4,0.018048001351621813,0.018048001351621813,1,563
191,1006,thetao W20p0 EOF7 lag22,0.017963455997347205,0.017963455997347205,1,1006
192,1823,so W30p0 EOF4 lag0,0.017936371465978766,0.017936371465978766,1,1823
193,1348,so W60p0 EOF9 lag4,0.017929565793824567,0.017929565793824567,1,1348
194,524,thetao W30p0 EOF5 lag0,0.017907991543382382,0.017907991543382382,1,524
195,560,thetao W30p0 EOF1 lag4,0.017886734048182095,0.017886734048182095,1,560
