N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
5,3,0.01,-4.39359213917899,3.0139730314257926,0.08466128889262761,1.2569069816030387,22.0,23.0,4
40,1,0.1,-4.402163711512779,2.441218736228733,0.1319264745077687,1.084806184626755,71.75,25.0,4
10,1,0.01,-4.404099579406949,3.948914611528116,-0.00025113043475583074,1.4294348670548196,22.5,21.5,4
15,0,0.01,-4.405242689067224,5.185658158436092,-0.0003349916791638638,0.8397338044858246,15.0,21.5,4
40,1,0.001,-4.427305666499035,2.360604255394316,0.19013845205756347,1.3476681523331242,71.75,25.0,4
5,3,0.001,-4.430395958457449,3.040523448811552,0.08443707523155376,1.2606319874761913,22.0,23.0,4
5,3,0.0001,-4.434158740651673,3.043269761609169,0.0844145759012177,1.26100891275485,22.0,23.0,4
15,2,1.0,-4.471120349794473,2.7784768247717135,0.09418922411217573,1.1285532972202426,46.25,23.0,4
10,2,0.01,-4.477516938646638,2.3890921100781504,0.12653578413033045,1.1800653938792487,34.25,22.5,4
15,0,0.001,-4.481530717997985,5.310044240646342,-0.0012436258615570912,0.8520275267567223,15.0,21.5,4
20,2,1.0,-4.484474059315999,3.115015091804329,0.14329810964507156,1.1246582042929774,59.5,24.25,4
15,0,0.0001,-4.489587811777525,5.323215257693778,-0.001338177958709566,0.8533385969633276,15.0,21.5,4
10,2,0.001,-4.508836730976654,2.404608806903134,0.12734308179799525,1.189040338733913,34.25,22.5,4
10,2,0.0001,-4.512109541832684,2.406131935670938,0.12742414607983543,1.1899782855287637,34.25,22.5,4
30,1,0.001,-4.5189689480540745,2.0541690764728466,0.09534839551846598,1.67848968451309,57.25,24.75,4
10,1,0.001,-4.534834107418449,4.159880230574318,-0.0009260736997203263,1.4509361518541521,22.5,21.5,4
10,1,0.0001,-4.548934248286195,4.182732708508542,-0.000994347763654025,1.4531811226896978,22.5,21.5,4
40,1,0.0001,-4.569204808058279,2.42488216503861,0.19625796539866874,1.392432649404487,71.75,25.0,4
30,0,1.0,-4.572583825197694,4.41523290443359,0.28182431353598675,0.9915039086957967,30.0,24.25,4
