N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
10,0,0.01,-0.7498670454891103,0.8309016568732257,0.38382046984796453,0.8540839699468123,10.0,16.0,6,0,maxlag,detrend,detrend,0.2816792488107332
10,0,0.03,-0.7496478112164929,0.8305066473698641,0.38374858529784905,0.8538301279340167,10.0,16.0,6,0,maxlag,detrend,detrend,0.28142967485166076
15,2,0.1,-1.0569482107188444,1.1321952837893954,0.44513462945485144,1.2344436540679105,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.28102407160731413
10,0,0.1,-0.7488919495482884,0.8291634413213325,0.3835007961579438,0.8529822571043603,10.0,16.0,6,0,maxlag,detrend,detrend,0.28058837613099596
10,0,0.3,-0.7468462308073214,0.8255799367903986,0.3828160943558325,0.8508402652811417,10.0,16.0,6,0,maxlag,detrend,detrend,0.2784042800526317
5,1,1.0,-0.9149358706315946,0.6139912195438768,0.32682967535268725,0.93077102068952,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.27836938983535126
5,2,30.0,-0.9706845182882198,0.6011851544161783,0.34165931883221257,0.9013760936371026,15.0,16.0,6,0,maxlag,detrend,detrend,0.2726225843781844
10,0,1.0,-0.74103090665187,0.814510054031216,0.3805184657786566,0.8452543149090145,10.0,16.0,6,0,maxlag,detrend,detrend,0.2721964862149667
10,1,10.0,-0.7725100873922791,0.8705878956732837,0.3691159568926839,0.8606437023009859,19.0,17.0,6,0,maxlag,detrend,detrend,0.27156654850337403
30,0,30.0,-0.8858513192148703,0.9441895234886056,0.30982182355688037,0.9448623170135825,30.0,17.0,6,0,maxlag,detrend,detrend,0.2712254454663881
15,2,0.03,-1.085253580777284,1.1427963459326396,0.4418470616632224,1.2465361548635534,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.26927175325873504
40,2,30.0,-0.5107665794599544,0.7390325450987406,0.395125710315382,0.8180968973470378,72.66666666666667,19.666666666666668,6,0,maxlag,detrend,detrend,0.2677935384583085
30,2,3.0,-0.99247786297021,0.9863436497534378,0.3394889078109573,1.1036420701005074,57.666666666666664,19.0,6,0,maxlag,detrend,detrend,0.2669394587406021
20,1,10.0,-0.7961301542737113,0.9583301464546353,0.3648373762743462,1.1400619533931424,31.666666666666668,17.333333333333332,6,0,maxlag,detrend,detrend,0.2667940088991465
5,1,3.0,-0.9287435690947028,0.6191045387837285,0.3199449007034885,0.9233284128674658,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.2662747897107146
15,2,0.01,-1.094377620664374,1.1459163175530058,0.4408241855569404,1.2505696822865857,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.2654254079563304
15,2,0.003,-1.0977026313393656,1.147009896771401,0.44045613124792854,1.252058178975481,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.2640154059650919
15,2,0.001,-1.0986659962993641,1.1473221350721827,0.4403499717283536,1.2524913739422308,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.2636060099687921
15,2,0.0003,-1.0990046087267025,1.1474313811811818,0.44031270911530623,1.2526438458814557,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.26346201699828725
15,2,0.0001,-1.0991014927013003,1.1474625903543487,0.44030205243639475,1.2526874912781016,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.2634208085417236
30,1,10.0,-0.9156874420683206,0.946889117523202,0.35235461880575497,1.1324951793088547,44.666666666666664,18.0,6,0,maxlag,detrend,detrend,0.2596079932895567
10,0,3.0,-0.73174237803515,0.7874265017429002,0.3742162337786283,0.835432506233044,10.0,16.0,6,0,maxlag,detrend,detrend,0.25901898814175905
20,0,30.0,-0.6782670545758697,0.8580608326082733,0.33636228445129707,0.8880369839484805,20.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.25798817321523343
40,1,3.0,-0.7689408554921817,0.7792737076319131,0.3815075488146569,1.1800103165819709,57.0,18.666666666666668,6,0,maxlag,detrend,detrend,0.25550032720727733
20,2,1.0,-0.8564907319281451,1.0344350883288025,0.41770381950064284,1.2330971611411632,41.0,18.333333333333332,6,0,maxlag,detrend,detrend,0.2545358067018286
5,0,0.0001,-1.0029113067064044,0.7107994669398437,0.2982687457765114,0.937384848248162,5.0,14.0,6,0,maxlag,detrend,detrend,0.2544381395502249
5,0,0.0003,-1.0029131742921786,0.7107976395766222,0.29826821246542057,0.9373837919628216,5.0,14.0,6,0,maxlag,detrend,detrend,0.2544368668393957
5,0,0.001,-1.0029197090770439,0.71079124546076,0.29826634637978205,0.9373800957529488,5.0,14.0,6,0,maxlag,detrend,detrend,0.2544324134068462
5,0,0.003,-1.0029383647856538,0.7107729907148675,0.29826101901302954,0.9373695419013605,5.0,14.0,6,0,maxlag,detrend,detrend,0.25441969834398187
5,0,0.01,-1.0030034845545026,0.7107092629992249,0.2982424232210016,0.9373326816343983,5.0,14.0,6,0,maxlag,detrend,detrend,0.2543753003650804
5,0,0.03,-1.0031880647298685,0.7105285569670521,0.2981897145648938,0.9372280240951776,5.0,14.0,6,0,maxlag,detrend,detrend,0.2542493314315181
5,0,0.1,-1.0038177993910604,0.7099109620463286,0.29800992636876017,0.9368689234175287,5.0,14.0,6,0,maxlag,detrend,detrend,0.25381817276103025
5,0,0.3,-1.0054969115074377,0.7082502838069795,0.2975313678138951,0.9358947005170739,5.0,14.0,6,0,maxlag,detrend,detrend,0.25265765817584684
20,0,1.0,-0.8974639467704933,1.0483748241882944,0.3114686512747745,1.0850313086048335,20.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.25194673525139105
5,0,1.0,-1.0104238195472843,0.7031398191247362,0.29614020509403033,0.9328639593312281,5.0,14.0,6,0,maxlag,detrend,detrend,0.24914497662589002
15,1,3.0,-0.9723091109514752,1.0604343508127183,0.3849871474752215,1.1977652278838413,25.0,17.333333333333332,6,0,maxlag,detrend,detrend,0.2465514879565326
5,1,10.0,-0.9604409287395521,0.6270247403781766,0.30692863241763435,0.9103685925370669,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.24418664719358119
5,0,3.0,-1.0204737146271132,0.6907971223365521,0.2933703365397723,0.9256658464521279,5.0,14.0,6,0,maxlag,detrend,detrend,0.24133642905626182
15,0,30.0,-0.6290830861660006,0.7943869783833302,0.347753794151149,0.8427890298754456,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.2377061150639609
10,0,10.0,-0.727282312664169,0.7189920446114724,0.35780713673391196,0.8163409626923547,10.0,16.0,6,0,maxlag,detrend,detrend,0.22924581061856023
