n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
98,20,0.569697067832074,0.7847800779171538,-0.0026146389532216707,1.0577429187985123,-0.7231688485609018,120,25,thetao W10p0 EOF1 lag12
99,20,0.5654451515756437,0.7829539028514982,-0.004251916256430288,1.0576004169354143,-0.7213841637822516,120,25,thetao W30p0 EOF4 lag17
100,20,0.5622949721448582,0.7814963772281486,-0.003150179430785438,1.0578165007408715,-0.7240903843896732,120,25,thetao W10p0 EOF1 lag8
101,20,0.5541939930999875,0.7784215891620484,-0.008100979044870726,1.0590327504668444,-0.7393226229428258,120,25,so W20p0 EOF10 lag15
102,20,0.5556764784457094,0.7790916926889009,0.001482485345721929,1.059160903810527,-0.7409276077256897,120,25,thetao W10p0 EOF1 lag0
103,20,0.5527560731225265,0.7777469964523352,-0.0029204053231829397,1.0594287167341978,-0.7442816807041794,120,25,thetao W10p0 EOF1 lag10
104,20,0.5528534586067999,0.7781602430078137,9.738548427340454e-05,1.0592438517485179,-0.7419664427214876,120,25,so W40p0 EOF3 lag1
105,20,0.547377502095407,0.7758451359107271,-0.0054759565113928765,1.0592723356813742,-0.7423231737866183,120,25,thetao W20p0 EOF9 lag10
106,20,0.5466582462313083,0.7754753184493735,-0.0007192558640987112,1.0592727074085806,-0.7423278292758332,120,25,thetao W30p0 EOF3 lag20
107,20,0.5866375688743828,0.7936658284470246,0.039979322643074466,1.0604617483375849,-0.7572193064891691,120,25,so W30p0 EOF9 lag12
108,20,0.5879990956354918,0.794374266648127,0.001361526761109011,1.0604769360105568,-0.7574095159937196,120,25,thetao W10p0 EOF2 lag0
109,20,0.5788604082655122,0.7903799368388952,-0.009138687369979581,1.0602836228458485,-0.7549884735240431,120,25,so W30p0 EOF5 lag14
110,20,0.5252809190964837,0.7647160237024333,-0.05357948916902855,1.0591495677914278,-0.7407856361030353,120,25,thetao W10p0 EOF8 lag1
111,20,0.5216920654799218,0.7631021755344694,-0.0035888536165619156,1.059458070831051,-0.7446493096509573,120,25,thetao W10p0 EOF1 lag9
112,20,0.4734095262299505,0.7418897177140436,-0.04828253924997128,1.0586268723566041,-0.7342394298561914,120,25,thetao W30p0 EOF8 lag15
113,20,0.48413616326258346,0.7464106976922636,0.01072663703263299,1.0588815864709191,-0.7374294541326637,120,25,thetao W20p0 EOF9 lag9
114,20,0.47803410458867246,0.7438679735120384,-0.006102058673911004,1.0589370139784067,-0.7381236249089652,120,25,so W30p0 EOF9 lag15
115,20,0.4791327798459917,0.7443635480390217,0.001098675257319215,1.0589646638769663,-0.7384699105786198,120,25,so W30p0 EOF9 lag19
116,20,0.47934636551780274,0.7444041347629912,0.00021358567181106736,1.059161650742304,-0.7409369622544416,120,25,thetao W40p0 EOF3 lag20
117,20,0.47903171482833784,0.7446465022030903,-0.0003146506894649015,1.0596477513012654,-0.7470248564728678,120,25,thetao W40p0 EOF3 lag11
118,20,0.47339757397364846,0.7424261550675528,-0.0056341408546893845,1.059491433503099,-0.7450671417528333,120,25,thetao W30p0 EOF4 lag16
