var,lon,mode0,mode,lag,corr,abs_corr
thetao,W10p0,0,1,12,-0.6401756880228949,0.6401756880228949
thetao,W60p0,1,2,18,-0.6398646186827597,0.6398646186827597
so,W30p0,8,9,12,0.6396025485893534,0.6396025485893534
thetao,W40p0,2,3,20,-0.6395299811158288,0.6395299811158288
thetao,W60p0,1,2,7,-0.6393236791810512,0.6393236791810512
so,W40p0,2,3,10,-0.6391985921001608,0.6391985921001608
so,W10p0,4,5,1,0.6390864887387324,0.6390864887387324
so,W30p0,1,2,4,-0.6389536714387363,0.6389536714387363
thetao,W40p0,1,2,22,-0.6387806347695418,0.6387806347695418
thetao,W10p0,2,3,14,0.638733459147779,0.638733459147779
thetao,W10p0,0,1,10,-0.638716929115015,0.638716929115015
thetao,W10p0,2,3,22,0.6386023725650055,0.6386023725650055
thetao,W20p0,2,3,14,-0.6379148793853119,0.6379148793853119
thetao,W10p0,0,1,9,-0.6377934293956945,0.6377934293956945
thetao,W60p0,9,10,1,-0.6376748162759402,0.6376748162759402
thetao,W30p0,1,2,16,-0.6375258580814985,0.6375258580814985
thetao,W40p0,1,2,23,-0.6372242202015079,0.6372242202015079
so,W30p0,8,9,23,0.637013607792499,0.637013607792499
thetao,W30p0,1,2,18,-0.6362705547416155,0.6362705547416155
thetao,W30p0,3,4,11,0.6359390673073827,0.6359390673073827
thetao,W10p0,2,3,23,0.6357432094774168,0.6357432094774168
thetao,W40p0,2,3,19,-0.6353322880629492,0.6353322880629492
thetao,W30p0,1,2,22,-0.6338403537789346,0.6338403537789346
thetao,W60p0,1,2,19,-0.6337422309004981,0.6337422309004981
thetao,W40p0,7,8,19,-0.6335078614149375,0.6335078614149375
thetao,W40p0,2,3,2,-0.6334605015011773,0.6334605015011773
thetao,W20p0,4,5,25,0.6333498320390546,0.6333498320390546
thetao,W30p0,3,4,12,0.6323803150138443,0.6323803150138443
thetao,W40p0,7,8,22,-0.6322379972373449,0.6322379972373449
thetao,W30p0,3,4,9,0.6321258409274287,0.6321258409274287
thetao,W60p0,1,2,20,-0.6321026082891973,0.6321026082891973
thetao,W10p0,3,4,22,0.631856209326236,0.631856209326236
thetao,W40p0,2,3,7,-0.6314589133430226,0.6314589133430226
so,W10p0,4,5,3,0.6314302733032845,0.6314302733032845
so,W10p0,8,9,16,0.6311331458979413,0.6311331458979413
thetao,W30p0,8,9,24,-0.6311008236199831,0.6311008236199831
so,W40p0,2,3,5,-0.6302754464449682,0.6302754464449682
thetao,W40p0,2,3,1,-0.6302112947011649,0.6302112947011649
thetao,W60p0,1,2,21,-0.6300942363681614,0.6300942363681614
thetao,W60p0,1,2,9,-0.6298128204181862,0.6298128204181862
thetao,W60p0,2,3,13,0.629551710690051,0.629551710690051
so,W10p0,8,9,25,0.6293597660498795,0.6293597660498795
thetao,W30p0,2,3,24,0.6291985956189777,0.6291985956189777
thetao,W20p0,4,5,22,0.6288024319818183,0.6288024319818183
thetao,W40p0,1,2,21,-0.6286665422712022,0.6286665422712022
thetao,W40p0,6,7,23,0.6284749548860746,0.6284749548860746
thetao,W40p0,2,3,15,-0.6281509152459654,0.6281509152459654
thetao,W30p0,8,9,10,-0.6279558896899126,0.6279558896899126
thetao,W40p0,2,3,10,-0.6276559774739245,0.6276559774739245
thetao,W30p0,1,2,23,-0.6276380642025806,0.6276380642025806
thetao,W30p0,8,9,22,-0.6275191014159344,0.6275191014159344
thetao,W60p0,3,4,22,-0.6272573148000598,0.6272573148000598
thetao,W40p0,2,3,14,-0.6271680085350388,0.6271680085350388
thetao,W30p0,3,4,17,0.6264456766177156,0.6264456766177156
thetao,W60p0,1,2,22,-0.62630561919006,0.62630561919006
thetao,W30p0,3,4,14,0.6262561651535253,0.6262561651535253
thetao,W60p0,3,4,20,-0.6261228825569901,0.6261228825569901
thetao,W60p0,9,10,11,-0.6257709066759172,0.6257709066759172
so,W10p0,4,5,9,0.6257215091005344,0.6257215091005344
thetao,W30p0,3,4,16,0.6256383396730283,0.6256383396730283
thetao,W20p0,4,5,15,0.6255334219325002,0.6255334219325002
thetao,W30p0,3,4,15,0.6254991659567043,0.6254991659567043
thetao,W10p0,2,3,24,0.6253897321643447,0.6253897321643447
thetao,W40p0,2,3,9,-0.6252046036529542,0.6252046036529542
so,W10p0,3,4,6,0.6252038792129464,0.6252038792129464
