var,lon,mode0,lag,corr,abs_corr
so,W20p0,5,15,-0.28829912639640964,0.28829912639640964
thetao,W60p0,7,3,-0.28785748866728134,0.28785748866728134
thetao,W60p0,3,22,-0.2875455245223356,0.2875455245223356
so,W60p0,2,8,-0.28745251259748106,0.28745251259748106
so,W30p0,9,3,0.2873160884819079,0.2873160884819079
thetao,W20p0,0,8,0.28646040809084,0.28646040809084
so,W10p0,9,18,-0.2861202894848569,0.2861202894848569
so,W60p0,4,7,0.2857300760867511,0.2857300760867511
thetao,W20p0,4,19,0.2853795021645554,0.2853795021645554
so,W40p0,5,16,0.2848066760663898,0.2848066760663898
so,W20p0,9,16,-0.28461140548223274,0.28461140548223274
so,W10p0,4,8,0.28455684807149817,0.28455684807149817
so,W10p0,7,8,-0.28431874419338526,0.28431874419338526
thetao,W40p0,5,13,0.28405414258503797,0.28405414258503797
thetao,W60p0,0,1,0.28332020771310057,0.28332020771310057
so,W20p0,2,13,0.283180993837425,0.283180993837425
thetao,W40p0,5,0,-0.282526784358467,0.282526784358467
so,W30p0,3,9,-0.2823380783451395,0.2823380783451395
thetao,W60p0,7,2,-0.2822038862377993,0.2822038862377993
thetao,W40p0,4,13,0.28175189942909373,0.28175189942909373
thetao,W60p0,7,24,-0.28175127921885756,0.28175127921885756
so,W10p0,2,9,-0.28145872083772366,0.28145872083772366
so,W40p0,2,10,-0.2809475822918658,0.2809475822918658
so,W10p0,5,1,-0.28050710705869386,0.28050710705869386
thetao,W20p0,9,21,0.28042172867638804,0.28042172867638804
so,W10p0,1,3,0.2792003901600218,0.2792003901600218
thetao,W20p0,8,1,-0.2790388964293134,0.2790388964293134
thetao,W40p0,7,18,-0.27873156103167207,0.27873156103167207
thetao,W10p0,5,15,0.2776348577519017,0.2776348577519017
so,W30p0,1,5,-0.277072274444696,0.277072274444696
thetao,W60p0,2,9,0.2767296661277176,0.2767296661277176
so,W20p0,3,4,0.27638040965321253,0.27638040965321253
so,W30p0,7,24,0.27633738761167553,0.27633738761167553
so,W20p0,6,6,-0.27624360092318473,0.27624360092318473
so,W10p0,7,2,-0.27612193372684024,0.27612193372684024
thetao,W60p0,2,13,0.27540833291786393,0.27540833291786393
so,W20p0,9,5,-0.27531450444082656,0.27531450444082656
so,W40p0,5,13,0.27520187810221736,0.27520187810221736
so,W60p0,0,12,0.2750837832930697,0.2750837832930697
so,W10p0,7,0,-0.27487857012256905,0.27487857012256905
so,W40p0,5,1,-0.27477657755716556,0.27477657755716556
thetao,W30p0,5,10,-0.2746399873517622,0.2746399873517622
thetao,W20p0,4,18,0.2746044919700316,0.2746044919700316
thetao,W60p0,7,8,-0.2739107326332247,0.2739107326332247
so,W20p0,5,16,-0.27389476406612023,0.27389476406612023
so,W60p0,0,24,-0.27373509955901826,0.27373509955901826
thetao,W60p0,9,2,-0.27361472364479855,0.27361472364479855
so,W20p0,9,18,-0.2731792443963606,0.2731792443963606
thetao,W60p0,7,23,-0.2731356021941625,0.2731356021941625
thetao,W30p0,2,24,0.27268731964623444,0.27268731964623444
thetao,W30p0,8,18,-0.27260443700001713,0.27260443700001713
so,W10p0,5,5,-0.2724145280476372,0.2724145280476372
so,W40p0,9,21,-0.27095381431717397,0.27095381431717397
so,W30p0,4,19,0.2682568087856017,0.2682568087856017
so,W40p0,7,20,-0.2680648056917284,0.2680648056917284
so,W60p0,0,11,0.26800432864753126,0.26800432864753126
thetao,W60p0,3,20,-0.26790389047022284,0.26790389047022284
thetao,W20p0,5,11,-0.26657675080857085,0.26657675080857085
so,W20p0,8,24,0.2665240494963485,0.2665240494963485
so,W10p0,5,7,-0.26641028162695807,0.26641028162695807
so,W30p0,9,24,-0.2659472128680709,0.2659472128680709
so,W60p0,1,25,-0.2653661197504047,0.2653661197504047
thetao,W40p0,7,21,-0.2651409718745212,0.2651409718745212
so,W40p0,2,1,-0.2650615490107724,0.2650615490107724
thetao,W60p0,6,5,0.26474646826032855,0.26474646826032855
so,W10p0,2,16,-0.26447393739504754,0.26447393739504754
thetao,W30p0,9,2,-0.2643713933949413,0.2643713933949413
so,W20p0,1,20,0.26436138859985503,0.26436138859985503
so,W20p0,9,17,-0.26404089141754056,0.26404089141754056
thetao,W20p0,4,17,0.2639716581935406,0.2639716581935406
thetao,W60p0,0,2,0.26375859101921373,0.26375859101921373
so,W20p0,1,11,0.2634622127368054,0.2634622127368054
thetao,W60p0,2,11,0.2631341397404652,0.2631341397404652
thetao,W10p0,2,16,0.26274460648682024,0.26274460648682024
so,W20p0,2,12,0.26246081019234524,0.26246081019234524
so,W10p0,4,13,0.2624520446185877,0.2624520446185877
so,W30p0,1,4,-0.26238127378268955,0.26238127378268955
thetao,W20p0,0,1,0.26209316123411963,0.26209316123411963
so,W10p0,1,4,0.26163441956077593,0.26163441956077593
so,W10p0,1,5,0.26159090886104436,0.26159090886104436
thetao,W60p0,9,7,-0.2613375878645505,0.2613375878645505
thetao,W10p0,2,15,0.26107716687074034,0.26107716687074034
thetao,W20p0,0,5,0.2609711448936458,0.2609711448936458
so,W30p0,1,8,-0.2603761581413424,0.2603761581413424
so,W30p0,4,13,0.25983512853457297,0.25983512853457297
thetao,W60p0,7,11,-0.25976780980493414,0.25976780980493414
so,W40p0,5,9,0.2596394311516723,0.2596394311516723
thetao,W20p0,4,16,0.259494239472633,0.259494239472633
so,W60p0,0,10,0.25875475227565614,0.25875475227565614
thetao,W30p0,8,20,-0.25863591413606063,0.25863591413606063
so,W40p0,4,18,0.25842664647487257,0.25842664647487257
so,W60p0,8,0,-0.2582888479949739,0.2582888479949739
so,W10p0,5,6,-0.25793456851117075,0.25793456851117075
so,W20p0,9,4,-0.2575515796206376,0.2575515796206376
so,W30p0,0,8,0.2573991765187206,0.2573991765187206
so,W10p0,7,13,-0.2569223214495418,0.2569223214495418
so,W40p0,8,19,0.2569111350222893,0.2569111350222893
thetao,W20p0,4,21,0.2566853484688177,0.2566853484688177
